0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,foodUp,foodDown,foodLeft,foodRight,ghostUp,ghostDown,ghostLeft,ghostRight,wallUp,wallDown,wallLeft,wallRight,lastAction,labelNextAction
2,34,2,2,2,2,34,2,2,2,2,34,34,2,2,34,2,34,34,2,6,2,2,6,-1,-1,0.2,0.3333333333333333,-1,-1,0.05555555555555555,0.05,True,True,False,False,3,3
2,34,2,2,2,2,34,2,34,2,2,34,34,34,2,6,2,2,6,2,34,34,2,6,-1,-1,0.25,1.0,-1,-1,0.05263157894736842,0.047619047619047616,True,True,False,False,3,3
2,34,2,34,2,2,34,2,34,34,2,6,2,6,2,34,34,2,6,2,2,2,2,6,1.0,0.3333333333333333,0.3333333333333333,-1,0.045454545454545456,0.047619047619047616,0.05,-1,False,False,False,True,3,1
34,2,34,2,34,34,2,34,2,34,34,2,2,2,34,2,34,34,2,34,2,2,2,2,0.5,0.25,-1,-1,0.047619047619047616,0.047619047619047616,-1,-1,False,False,True,True,1,0
2,34,2,34,2,2,34,2,34,34,2,2,2,6,2,34,34,2,6,2,2,2,2,6,1.0,0.3333333333333333,0.3333333333333333,-1,0.045454545454545456,0.047619047619047616,0.05,-1,False,False,False,True,0,0
34,2,34,2,34,34,2,34,34,34,2,2,6,34,34,34,2,6,34,2,2,2,6,34,0.5,0.5,-1,1.0,0.043478260869565216,0.047619047619047616,-1,0.041666666666666664,False,False,True,False,0,0
2,34,2,34,2,2,34,34,34,2,2,2,34,2,34,2,6,34,2,2,2,6,34,2,-1,0.5,-1,1.0,-1,0.045454545454545456,-1,0.043478260869565216,True,False,True,False,0,3
2,34,34,34,2,2,2,2,34,2,34,2,34,2,2,2,6,34,2,2,34,6,34,2,-1,0.5,0.3333333333333333,1.0,-1,0.041666666666666664,0.043478260869565216,0.041666666666666664,True,False,False,False,3,3
2,2,2,34,2,34,2,2,34,2,2,2,34,2,2,34,6,34,2,34,34,6,34,2,-1,0.5,0.3333333333333333,1.0,-1,0.04,0.043478260869565216,0.038461538461538464,True,False,False,False,3,1
2,2,2,2,34,34,34,2,2,34,2,2,2,34,34,2,34,6,34,34,34,34,6,34,1.0,0.3333333333333333,0.3333333333333333,-1,0.041666666666666664,0.038461538461538464,0.041666666666666664,-1,False,False,False,True,1,1
2,2,2,2,2,2,34,34,2,2,2,2,2,2,6,34,2,34,6,6,34,34,34,6,0.5,0.3333333333333333,-1,0.5,0.04,0.04,-1,0.5,False,False,True,False,1,1
34,2,2,2,2,34,2,34,34,2,34,2,2,2,34,6,34,2,34,34,6,34,34,34,0.3333333333333333,1.0,-1,-1,0.038461538461538464,0.041666666666666664,-1,-1,False,False,True,True,1,1
0,34,2,2,2,0,34,2,34,34,0,34,2,2,0,34,6,34,2,0,34,6,34,34,0.3333333333333333,-1,0.3333333333333333,1.0,0.04,-1,0.043478260869565216,0.037037037037037035,False,True,False,False,1,3
0,34,2,34,34,0,34,2,2,2,0,34,34,2,0,34,6,34,34,0,34,6,6,6,-1,-1,0.3333333333333333,1.0,-1,-1,0.041666666666666664,0.034482758620689655,True,True,False,False,3,3
0,34,2,2,2,0,34,2,34,2,0,34,34,34,0,34,6,6,6,0,34,34,34,34,-1,-1,0.3333333333333333,1.0,-1,-1,0.037037037037037035,0.03225806451612903,True,True,False,False,3,3
0,34,2,34,2,0,34,2,34,34,0,34,6,6,0,34,34,34,34,0,2,2,2,2,1.0,-1,0.3333333333333333,-1,0.029411764705882353,-1,0.034482758620689655,-1,False,True,False,True,3,0
34,2,34,2,34,34,2,34,34,34,34,2,6,6,34,34,34,34,34,2,2,2,2,2,1.0,0.3333333333333333,-1,-1,0.03125,0.03225806451612903,-1,-1,False,False,True,True,0,0
2,34,2,34,6,2,34,34,34,6,2,2,6,6,34,34,34,34,34,2,2,2,2,2,1.0,0.3333333333333333,-1,-1,0.03225806451612903,0.029411764705882353,-1,-1,False,False,True,True,0,0
34,2,34,6,34,34,34,34,6,34,2,2,6,34,34,34,34,34,34,2,2,2,2,2,0.5,0.3333333333333333,-1,-1,0.03333333333333333,0.03125,-1,-1,False,False,True,True,0,0
2,34,6,34,2,34,34,6,34,2,2,2,34,2,34,34,34,34,2,2,2,2,2,2,-1,0.3333333333333333,0.5,-1,-1,0.03225806451612903,0.03571428571428571,-1,True,False,False,True,0,2
2,2,2,34,2,2,34,6,34,2,34,34,34,2,2,2,2,34,2,34,34,34,34,2,-1,-1,0,0.25,-1,-1,0.038461538461538464,0.03333333333333333,True,True,False,False,2,2
