voteFoodUp,voteFoodDown,voteFoodLeft,voteFoodRight,voteGhostUp,voteGhostDown,voteGhosLeft,voteGhostRight,labelNextAction
0,0,0,0.0,0,0,0,0.0,East
0,0.20400000000000004,0.0,0.0,0,-7.408,0.0,0.0,West
0,0,0,0.0,0,0,0,0.0,East
0,0.20400000000000004,0.0,0.0,0,-3.734,0.0,0.0,East
0,0.12800000000000006,0.048,0.0,0,-0.755,0.0,0.0,East
0,0,0.0,0,0,0,0.0,0,West
0,0.12800000000000006,0.048,0.0,0,-0.274,0.0,0.0,South
0.0,0.12000000000000002,0.07600000000000001,0,0.0,-0.137,-0.1,0,South
0.0,0,0.20100000000000004,0.0,0.0,0,-0.137,-0.195,West
0.0,0,0.28000000000000014,0.0,0.0,0,-0.137,-0.137,West
0,0,0.44300000000000017,0.0,0,0,-0.137,-0.075,West
0,0,0.5300000000000002,0.0,0,0,-0.1,-0.058,West
2.1,0.159,0,0.0,0.0,-0.253,0,0.0,North
1.429,0.068,0.837,0,-0.1,-0.075,0.0,0,North
0,0.27,0.845,0,0,-0.058,-0.137,0,West
0,1.421,0.726,0.0,0,-0.075,-0.292,0.0,South
0.381,0,0.726,0.028,-0.463,0,-0.292,0.0,West
1.465,1.437,0,0.0,-3.704,-0.1,0,0.0,South
0.48800000000000004,1.313,0.0,0,-3.704,-0.195,0.0,0,South
0.21499999999999997,0.611,0,0,-3.704,-0.8,0,0,South
0.127,0,0.508,1.0,-3.704,0,0.0,-3.704,West
0,0,0.465,0.175,0,0,0.0,-4.167,West
0,0,0.401,0.068,0,0,0.0,-3.8040000000000003,West
1.205,0,0,0.016,-0.046,0,0,-0.292,North
1.193,0.01,0,0,-0.058,-0.075,0,0,North
1.183,0.008,0,0,-0.116,0.0,0,0,North
1.171,0.007,0,0,-0.332,0.0,0,0,North
0,0.007,0,0.341,0,0.0,0,-0.6000000000000001,South
0.17099999999999999,0.007,0,0,-0.137,-0.1,0,0,North
0,0.007,0,0.341,0,-0.058,0,-0.137,East
0,0,0.0,1.123,0,0,0.0,-0.584,East
0,0,0.0,1.02,0,0,0.0,-3.126,West
0,0,0.0,0.123,0,0,0.0,-0.8580000000000001,West
0,0.007,0,0.028,0,-0.024,0,-0.137,South
0.02,0.007,0,0,-0.15,0.0,0,0,South
0.012,0.008,0,0,-0.116,0.0,0,0,South
0.01,0.01,0,0,-0.075,-0.058,0,0,South
0.008,0,0,0.016,-0.075,0,0,-0.075,East
0,0,0.0,0.056,0,0,0.0,-0.274,East
0,0,0.0,0.139,0,0,0.0,-0.332,East
0.063,0,0.0,1.0,-0.463,0,0.0,-0.463,East
0,0,0.028,0.0,0,0,-0.292,-0.463,East
0.02,0,0.0,0.0,-0.463,0,-0.463,0.0,East
0,0,0.012,0.0,0,0,-0.332,0.0,East
0,0,0.008,0.0,0,0,-0.253,0.0,East
0,0,0.006,0.0,0,0,-0.17300000000000001,0.0,East
0,0,0.005,0.0,0,0,-0.137,-0.046,East
0,0,0.005,0.0,0,0,-0.195,-0.075,East
0,0,0.005,0.0,0,0,-0.292,-0.1,East
0.004,0,0.0,0.0,-0.137,0,-0.292,0.0,East
0,0,0.003,0.0,0,0,-0.35,0.0,East
0.0,0,0.003,0.0,0.0,0,-0.509,0.0,North
0.003,0.0,0,0,-0.058,-0.292,0,0,North
0.003,0.0,0,0.0,-0.1,-0.292,0,0.0,East
0,0,0.0,0,0,0,0.0,0,West
0.003,0.0,0,0.0,-0.137,-0.8,0,0.0,East
0,0,0.0,0,0,0,0.0,0,West
0.003,0.0,0,0.0,-0.463,-0.463,0,0.0,North
0.0,0.0,0.003,0,0.0,0.0,-1.092,0,North
0,0.003,0.0,0.0,0,-0.8,-0.8,0.0,East
0,0,0.003,0.0,0,0,-0.584,0.0,East
0,0,0.002,0.0,0,0,-0.39,0.0,East
0,0.0,0.002,0,0,0.0,-0.2,0,South
0.002,0.0,0,0,-0.2,0.0,0,0,South
0.001,0.0,0,0,-0.116,0.0,0,0,South
0.0,0.001,0,0,-0.075,-0.058,0,0,South
0.0,0,0.001,0,-0.046,0,-0.137,0,West
0,0,0.002,0.0,0,0,-0.392,0.0,West
0,0,0.002,0.0,0,0,-0.9950000000000001,0.0,East
0,0,0.002,0.0,0,0,-0.332,0.0,East
0.0,0,0.001,0,-0.075,0,-0.137,0,North
0.0,0.001,0,0,-0.137,-0.075,0,0,North
0.001,0.0,0,0,-0.367,0.0,0,0,South
0.0,0.001,0,0,-0.367,0.0,0,0,South
0.0,0,0.001,0,-0.195,0,-0.1,0,West
0,0,0.002,0.0,0,0,-0.137,-0.195,West
0,0,0.002,0.0,0,0,-0.195,-0.292,West
0.0,0,0.003,0.0,-0.926,0,0.0,0.0,West
0,0,0.003,0.0,0,0,-0.292,-0.463,West
0.004,0,0.0,0.0,-0.8,0,0.0,-0.137,West
0,0,0.005,0.0,0,0,0.0,-0.937,West
0,0,0.005,0.0,0,0,0.0,-0.367,West
0,0,0.005,0.0,0,0,0.0,-0.253,West
0,0,0.006,0.0,0,0,0.0,-0.183,West
0,0,0.008,0.0,0,0,0.0,-0.133,West
0,0,0.012,0.0,0,0,-0.058,-0.075,West
0.02,0,0.0,0.0,-0.195,0,0.0,-0.046,West
0,0,0.028,0.0,0,0,0.0,-0.136,West
0.063,0,0.0,0.0,0.0,0,0.0,-0.136,North
0.111,0.0,0,0,-0.075,-0.058,0,0,North
0.25,0.0,0.0,0,-0.137,-0.024,0.0,0,North
1.0,0.0,0,0.0,0.0,-0.024,0,-0.195,North
0,0,0.5580000000000002,1.3509999999999993,0,0,-0.03,-0.024,East
0,0,0.2620000000000001,1.4369999999999996,0,0,0.0,-0.08199999999999999,East
0,0,0.18700000000000003,1.6029999999999998,0,0,0.0,-0.10400000000000001,East
0,0,0.139,2.0780000000000007,0,0,0.0,-0.133,East
1.9140000000000001,0,0.08300000000000002,1.469,-0.332,0,0.0,0.0,North
2.1409999999999996,0.40700000000000014,0,0,-0.755,0.0,0,0,North
