,ghostUp,ghostDown,ghostLeft,ghostRight,wallUp,wallDown,wallLeft,wallRight,foodUp,foodDown,foodLeft,foodRight,emptyUp,emptyDown,emptyLeft,emptyRight,nearestFood,nearestGhost,nearestCapsule,legalPositionUp,legalPositionDown,legalPositionULeft,legalPositionRight,pacmanPositionX,pacmanPositionY,labelNextAction
21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,1,1,1,0.058823529,0.038461538,TRUE,TRUE,FALSE,FALSE,0.05,0.571428571,North
,,,,,,,,,,,,,,,,,,,,,,,,,,
22,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,1,0.5,0.071428571,0.041666667,FALSE,TRUE,FALSE,TRUE,0.05,0.714285714,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,1,1,0.083333333,0.047619048,FALSE,FALSE,TRUE,TRUE,0.1,0.714285714,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
24,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,1,1,0.090909091,0.052631579,FALSE,FALSE,TRUE,TRUE,0.15,0.714285714,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,1,1,1,1,0.111111111,0.055555556,FALSE,TRUE,TRUE,TRUE,0.2,0.714285714,South
,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,1,0.5,0.125,0.052631579,TRUE,TRUE,FALSE,TRUE,0.2,0.571428571,South
,,,,,,,,,,,,,,,,,,,,,,,,,,
27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.1,0.047619048,TRUE,TRUE,TRUE,FALSE,0.2,0.428571429,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
28,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.5,0.5,FALSE,FALSE,FALSE,TRUE,0.15,0.428571429,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.076923077,0.047619048,TRUE,TRUE,TRUE,FALSE,0.2,0.428571429,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
30,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.5,0.5,FALSE,FALSE,FALSE,TRUE,0.15,0.428571429,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.066666667,0.047619048,TRUE,TRUE,TRUE,FALSE,0.2,0.428571429,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
32,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.5,0.5,FALSE,FALSE,FALSE,TRUE,0.15,0.428571429,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.055555556,0.047619048,TRUE,TRUE,TRUE,FALSE,0.2,0.428571429,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
34,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.5,0.5,FALSE,FALSE,FALSE,TRUE,0.15,0.428571429,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
