voteFoodUp,voteFoodDown,voteFoodLeft,voteFoodRight,voteGhostUp,voteGhostDown,voteGhosLeft,voteGhostRight,labelNextAction
0,0,0.5577600200000001,1.3511620800000002,0,0,-0.0010798,-0.00093914,East
0,0,0.27709140000000004,1.406235870000001,0,0,0.0,-0.00270794,East
0,0,0.18945318,1.509713610000001,0,0,0.0,-0.00447683,East
0,0,0.15188015999999996,1.6604030600000008,0,0,0.0,-0.00660727,East
1.99311319,0,0.09777889999999999,0,-0.01330019,0,0.0,0,North
2.894132719999999,0.04623514,0,0,-0.0270444,0.0,0,0,North
2.097933739999999,0.03797068,0.6507906700000003,1.5382230299999997,-0.053809449999999995,0.0,0.0,0.0,North
2.1975507499999996,0.6889477100000002,0,0,-0.16203704,0.0,0,0,North
2.0521086400000006,0.4698083599999999,0,0.7037806500000001,-0.37615741,0.0,0,0.0,North
2.4121151400000005,0.6616142700000003,0,0,-0.16203704,0.0,0,0,North
1.5097677299999999,0.49105922,0.6430823300000004,1.5479308699999996,0.0,0.0,-0.00578704,-0.15625,North
1.28762403,0.9613001000000009,0,0,0.0,-0.03211748,0,0,North
0,0.6954996700000005,0.48196292999999985,0,0,-0.02743484,0.0,0,South
0.28762403000000003,0.9613001000000009,0,0,0.0,-0.02743484,0,0,South
0.25976773000000003,0.49105922,0.6430823300000004,1.5479308699999996,0.0,-0.0390625,0.0,0.0,East
0,0,0.6602370900000002,1.8776664299999999,0,0,-0.01371742,-0.01953125,East
1.41631094,0,0.41060056999999983,1.53148047,0.0,0,-0.00093914,-0.01953125,East
0,1.72681086,0.49243651999999993,0,0,-0.01953125,-0.00093914,0,South
0.34169599999999994,1.0705849800000005,0,0,-0.00093914,-0.01371742,0,0,South
0.26390292000000004,1.5514520000000003,0.5619498900000001,1.42332483,0.0,-0.01953125,0.0,-0.01953125,South
0.9803699800000002,0.6921524099999999,0,0,-0.01371742,-0.01371742,0,0,North
0.26390292000000004,0.551452,0.5619498900000001,1.42332483,-0.00171468,0.0,0.0,-0.0462963,East
0,0,0.6806730299999997,1.6626758899999998,0,0,-0.00145794,-0.15625,East
1.41303162,1.22935957,0.4500007499999995,0,0.0,-10.0,-0.00145794,0,North
1.2497677299999999,0.5067782499999999,0,0,0.0,-1.25125,0,0,North
1.2569222500000004,0.28660461,0,0,-0.00125,-0.0462963,0,0,North
1.25488818,0.16103997000000003,0,0,-0.00093914,-0.01371742,0,0,North
0,0.13102007999999996,0.44806258999999987,0,0,-0.00751315,-0.00578704,0,West
0,0,0.49404074,0.06783091000000001,0,0,-0.014967419999999999,0.0,West
0,0,0.5170386500000002,0.02849252,0,0,-0.04833172,0.0,West
0,1.339906330000001,0,0.02421719,0,-10.00455166,0,0.0,East
0,0,0.2670386500000001,0.02849252,0,0,-1.25296296,0.0,East
0,0,0.18154074,0.06783091000000001,0,0,-1.25296296,0.0,East
0,0.13102007999999996,0.10778481,0,0,0.0,-1.25296296,0,South
0.08336890999999998,0.16103997000000003,0,0,-10.00296296,0.0,0,0,South
0.062408359999999996,0.28660461,0,0,-10.00364431,0.0,0,0,South
0.01234568,0.5067782499999999,0,0,-10.0,-0.00751315,0,0,South
0.0,1.22935957,0.44042514999999954,0,-10.0,0.0,-0.01953125,0,South
0.35192080000000003,0.43492205,0,0,-10.01953125,0.0,0,0,South
0.22611606000000004,0.38309272,0,0,-10.00751315,0.0,0,0,South
0.12009866999999996,0.1993654000000001,0,0,-10.0,-0.00578704,0,0,South
0.07536651999999996,0,0.46916420999999986,0,-10.0,0,-0.00578704,0,West
0,0,0.5157742299999999,0.01492545,0,0,-0.01,-0.37037037,West
0,0,0.5530162299999993,0.0,0,0,-0.01953125,-0.37037037,West
1.479076620000001,0,0,0.0,-0.37037037,0,0,-0.08,North
1.7331503699999997,0.0,0,0,-10.0,-0.08,0,0,South
0.4790766199999999,0,0,0.0,-0.15625,0,0,-0.15625,North
1.7331503699999997,0.0,0,0,-1.25,-0.37037037,0,0,North
0,0.0,0.63369632,1.0834027800000001,0,-0.15625,0.0,-0.37037037,East
0.25083035,0,0.2879229100000001,0,-10.0,0,-0.08,0,West
0,0.0,0.63369632,0.08340278,0,-1.25,0.0,-0.15625,West
0,0,0.5869992799999995,0.04012346,0,0,0.0,-0.2025463,West
0.35670586999999987,0.03797068,0.6886378700000003,0.0,-0.08,0.0,0.0,-0.15625,West
0,0,0.7420159400000005,0.21886456,0,0,0.0,-0.16,West
0,0,0.6701883900000004,0.12670636000000002,0,0,0.0,-0.07545082,West
0,0,0.6740271300000005,0.06995457999999999,0,0,0.0,-0.05830904,West
0,0,0.6967368000000005,0.04643218,0,0,0.0,-0.03324867,West
0,0,0.8796654400000007,0.027963639999999998,0,0,0.0,-0.04287194,West
0,0,1.2849526799999995,0.0152089,0,0,0.0,-0.0270444,West
2.025166599999999,1.3525,0.7647512900000001,0.0,0.0,0.0,0.0,-0.0270444,North
2.1083157699999986,0.5277374,0,0,-0.00578704,-0.00751315,0,0,North
1.9517343199999997,0.35497664,0.7037806500000001,0,-0.01371742,-0.00578704,0.0,0,North
